"IID1"	"IID2"	"PI_HAT"
"BadSample_3"	"NA20518"	0.2168
"BadSample_3"	"NA20519"	0.2231
"BadSample_3"	"NA20520"	0.2205
"BadSample_3"	"NA20521"	0.2215
"BadSample_3"	"NA20522"	0.2167
"BadSample_3"	"NA20524"	0.2149
"BadSample_3"	"NA20525"	0.2225
"BadSample_3"	"NA20527"	0.2148
"BadSample_3"	"NA20528"	0.2206
"BadSample_3"	"NA20529"	0.2144
"BadSample_3"	"NA20530"	0.2223
"BadSample_3"	"NA20531"	0.2168
"BadSample_3"	"NA20532"	0.2245
"BadSample_3"	"NA20533"	0.2126
"BadSample_3"	"NA20534"	0.2197
"BadSample_3"	"NA20535"	0.2162
"BadSample_3"	"NA20536"	0.2141
"BadSample_3"	"NA20538"	0.2153
"BadSample_3"	"NA20539"	0.2153
"BadSample_3"	"NA20540"	0.2171
"BadSample_3"	"NA20541"	0.2162
"BadSample_3"	"NA20542"	0.2231
"BadSample_3"	"NA20543"	0.2242
"BadSample_3"	"NA20544"	0.213
"BadSample_3"	"NA20581"	0.2153
"BadSample_3"	"NA20582"	0.2138
"BadSample_3"	"NA20585"	0.2056
"BadSample_3"	"NA20586"	0.2235
"BadSample_3"	"NA20587"	0.2219
"BadSample_3"	"NA20588"	0.2149
"BadSample_3"	"NA20589"	0.224
"BadSample_3"	"NA20752"	0.2199
"BadSample_3"	"NA20753"	0.2172
"BadSample_3"	"NA20754"	0.216
"BadSample_3"	"NA20755"	0.2234
"BadSample_3"	"NA20756"	0.2194
"BadSample_3"	"NA20757"	0.219
"BadSample_3"	"NA20758"	0.2244
"BadSample_3"	"NA20759"	0.2205
"BadSample_3"	"NA20760"	0.2191
"BadSample_3"	"NA20761"	0.2184
"BadSample_3"	"NA20762"	0.2145
"BadSample_3"	"NA20763"	0.2241
"BadSample_3"	"NA20764"	0.2132
"BadSample_3"	"NA20765"	0.215
"BadSample_3"	"NA20766"	0.22
"BadSample_3"	"NA20767"	0.2254
"BadSample_3"	"NA20768"	0.2181
"BadSample_3"	"NA20769"	0.2239
"BadSample_3"	"NA20770"	0.218
"BadSample_3"	"NA20771"	0.2165
"BadSample_3"	"NA20772"	0.2195
"BadSample_3"	"NA20773"	0.2188
"BadSample_3"	"NA20774"	0.218
"BadSample_3"	"NA20775"	0.2152
"BadSample_3"	"NA20778"	0.2177
"BadSample_3"	"NA20783"	0.2218
"BadSample_3"	"NA20785"	0.2209
"BadSample_3"	"NA20786"	0.2184
"BadSample_3"	"NA20787"	0.2139
"BadSample_3"	"NA20790"	0.2199
"BadSample_3"	"NA20792"	0.2181
"BadSample_3"	"NA20795"	0.2192
"BadSample_3"	"NA20796"	0.2134
"BadSample_3"	"NA20797"	0.2193
"BadSample_3"	"NA20798"	0.2164
"BadSample_3"	"NA20799"	0.2164
"BadSample_3"	"NA20800"	0.2218
"BadSample_3"	"NA20801"	0.2244
"BadSample_3"	"NA20802"	0.2179
"BadSample_3"	"NA20803"	0.2173
"BadSample_3"	"NA20804"	0.2221
"BadSample_3"	"NA20805"	0.219
"BadSample_3"	"NA20806"	0.2124
"BadSample_3"	"NA20807"	0.2245
"BadSample_3"	"NA20808"	0.2121
"BadSample_3"	"NA20809"	0.22
"BadSample_3"	"NA20810"	0.2244
