"ID"	"Population"	"Sex"	"V3"	"V4"
"NA20808_vss"	"VSS"	"female"	-0.0139855	-0.0142284
"NA20809"	"TSI"	"male"	-0.0138714	-0.0138501
"NA20809_vss"	"VSS"	"male"	-0.0138629	-0.0138472
"NA20810"	"TSI"	"male"	-0.0138106	-0.0145807
"NA20810_vss"	"VSS"	"male"	-0.0137949	-0.0145972
"NA20811"	"TSI"	"male"	-0.0135679	-0.0155129
"NA20811_vss"	"VSS"	"male"	-0.0135446	-0.015494
"NA20812"	"TSI"	"male"	-0.0142166	-0.0135928
"NA20812_vss"	"VSS"	"male"	-0.0142078	-0.0135517
"NA20813"	"TSI"	"female"	-0.0139178	-0.0143198
"NA20813_vss"	"VSS"	"female"	-0.0139098	-0.0143053
"NA20814"	"TSI"	"male"	-0.0135963	-0.0138748
"NA20814_vss"	"VSS"	"male"	-0.0135878	-0.0138861
"NA20815"	"TSI"	"male"	-0.0140608	-0.0147302
"NA20815_vss"	"VSS"	"male"	-0.0140448	-0.014728
"NA20816"	"TSI"	"male"	-0.0139035	-0.0137505
"NA20818"	"TSI"	"female"	-0.0142761	-0.0134865
"NA20818_vss"	"VSS"	"female"	-0.014265	-0.0134791
"NA20819"	"TSI"	"female"	-0.0141991	-0.0129667
"NA20819_vss"	"VSS"	"female"	-0.0141764	-0.0129403
"NA20821_vss"	"VSS"	"female"	-0.0135938	-0.0136709
"NA20822_vss"	"VSS"	"female"	-0.0137217	-0.014081
"NA20826"	"TSI"	"female"	-0.0136745	-0.0148225
"NA20826_vss"	"VSS"	"female"	-0.013665	-0.0148245
"NA20827_vss"	"VSS"	"male"	-0.0139416	-0.0144875
"NA20828"	"TSI"	"female"	-0.0137366	-0.0143848
"NA20828_vss"	"VSS"	"female"	-0.0137059	-0.0143751
"NA20832_vss"	"VSS"	"female"	-0.0136517	-0.0147249
